#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2021-07-08"
#curie_map:
#  ECOCORE: "http://purl.obolibrary.org/obo/ECOCORE_"
#  MICRO: "http://purl.obolibrary.org/obo/MICRO_"
#  OBA: "http://purl.obolibrary.org/obo/OBA_"
#  OMP: "http://purl.obolibrary.org/obo/OMP_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  dc: "http://purl.org/dc/elements/1.1/"
#  dcterms: "http://purl.org/dc/terms/"
#  foaf: "http://xmlns.com/foaf/0.1/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  xsd: "http://www.w3.org/2001/XMLSchema#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
PATO:0001409	spindle-shaped	owl:equivalentClass	MICRO:0000354	spindle colony	Lexical|Flattening	PATO	MICRO	rdf_matcher	0.06698457989158757	rdfs:label	oio:hasBroadSynonym	quality	distinctly shaped colony	shapedspindle	many_to_one	.
PATO:0001409	spindle-shaped	owl:equivalentClass	MICRO:0000354	spindle colony	Lexical|Stemming	PATO	MICRO	rdf_matcher	0.1255586653340269	rdfs:label	oio:hasBroadSynonym	quality	distinctly shaped colony	spindle-shap	many_to_one	.
PATO:0001409	spindle-shaped	owl:equivalentClass	MICRO:0000354	spindle colony	Lexical	PATO	MICRO	rdf_matcher	0.1687884029048977	rdfs:label	oio:hasBroadSynonym	quality	distinctly shaped colony	spindle-shaped	many_to_one	.
PATO:0002148	increased virulence	owl:equivalentClass	OMP:0000062	increased virulence	Lexical	PATO	OMP	rdf_matcher	0.585786437626905	dc:identifier	oio:hasDbXref	quality	microbial_phenotype	PATO:0002148	unique	.
PATO:0002148	increased virulence	owl:equivalentClass	OMP:0000062	increased virulence	Lexical|Stemming	PATO	OMP	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	quality	microbial_phenotype	increased virul	unique	.
PATO:0002148	increased virulence	owl:equivalentClass	OMP:0000062	increased virulence	Lexical	PATO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	quality	microbial_phenotype	increased virulence	unique	.
PATO:0002148	increased virulence	owl:equivalentClass	OMP:0000062	increased virulence	Lexical|Flattening	PATO	OMP	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	quality	microbial_phenotype	increasedvirulence	unique	.
OMP:0007110	chemolithotrophic	owl:equivalentClass	MICRO:0001476	chemolithotrophic	Lexical|Stemming	OMP	MICRO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	microbial_phenotype	prokaryotic metabolic quality	chemolithotroph	one_to_many	.
OMP:0007110	chemolithotrophic	owl:equivalentClass	MICRO:0001499	chemolithotroph	Lexical|Stemming	OMP	MICRO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	microbial_phenotype	prokaryotic metabolically differentiated cell	chemolithotroph	one_to_many	.
OMP:0007110	chemolithotrophic	owl:equivalentClass	MICRO:0001476	chemolithotrophic	Lexical	OMP	MICRO	rdf_matcher	0.48267825516781476	rdfs:label	rdfs:label	microbial_phenotype	prokaryotic metabolic quality	chemolithotrophic	one_to_many	.
