# comment: .
# curie_map:
#   ECOCORE: http://purl.obolibrary.org/obo/ECOCORE_
#   MICRO: http://purl.obolibrary.org/obo/MICRO_
#   OBA: http://purl.obolibrary.org/obo/OBA_
#   OMP: http://purl.obolibrary.org/obo/OMP_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   dc: http://purl.org/dc/elements/1.1/
#   dcterms: http://purl.org/dc/terms/
#   foaf: http://xmlns.com/foaf/0.1/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   skos: http://www.w3.org/2004/02/skos/core#
#   xsd: http://www.w3.org/2001/XMLSchema#
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2021-07-08'
# mapping_tool: https://github.com/cmungall/rdf_matcher
# object_match_field: rdfs:label
# object_source: MICRO
# subject_match_field: rdfs:label
# subject_source: PATO
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
OMP:0000045	increased motility	microbial_phenotype	owl:equivalentClass	PATO:0002298	increased cellular motility	quality	Lexical	OMP	PATO	rdf_matcher	0.9783806380088232	oio:hasDbXref	dc:identifier	PATO:0002298	.
OMP:0000002	decreased motility	microbial_phenotype	owl:equivalentClass	PATO:0002297	decreased cellular motility	quality	Lexical	OMP	PATO	rdf_matcher	0.9783806380088232	oio:hasDbXref	dc:identifier	PATO:0002297	.
OMP:0000062	increased virulence	microbial_phenotype	owl:equivalentClass	PATO:0002148	increased virulence	quality	Lexical	OMP	PATO	rdf_matcher	0.9783806380088232	oio:hasDbXref	dc:identifier	PATO:0002148	.
OMP:0000061	decreased virulence	microbial_phenotype	owl:equivalentClass	PATO:0002147	reduced virulence	quality	Lexical	OMP	PATO	rdf_matcher	0.9783806380088232	oio:hasDbXref	dc:identifier	PATO:0002147	.
OMP:0000131	lobed cell shape	microbial_phenotype	owl:equivalentClass	PATO:0001979	lobed	quality	Lexical	OMP	PATO	rdf_matcher	0.9783806380088232	oio:hasDbXref	dc:identifier	PATO:0001979	.
OMP:0007099	cylindrical cell shape	microbial_phenotype	owl:equivalentClass	PATO:0001873	cylindrical	quality	Lexical	OMP	PATO	rdf_matcher	0.9783806380088232	oio:hasDbXref	dc:identifier	PATO:0001873	.
OMP:0007100	spheroid cell shape	microbial_phenotype	owl:equivalentClass	PATO:0001865	spheroid	quality	Lexical	OMP	PATO	rdf_matcher	0.9783806380088232	oio:hasDbXref	dc:identifier	PATO:0001865	.
OMP:0000132	pleomorphic cell shape	microbial_phenotype	owl:equivalentClass	PATO:0001356	pleomorphic	quality	Lexical	OMP	PATO	rdf_matcher	0.9783806380088232	oio:hasDbXref	dc:identifier	PATO:0001356	.
OMP:0000098	altered virulence	microbial_phenotype	owl:equivalentClass	PATO:0002146	virulence	quality	Lexical	OMP	PATO	rdf_matcher	0.9576762876752064	oio:hasDbXref	dc:identifier	PATO:0002146	.
MICRO:0000309	transparent colony	colony having distinct optical quality	owl:equivalentClass	OMP:0000115	transparent colony	microbial_phenotype	Lexical	MICRO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	transparent colony	.
OMP:0000115	transparent colony	microbial_phenotype	owl:equivalentClass	MICRO:0000309	transparent colony	colony having distinct optical quality	Lexical	OMP	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	transparent colony	.
OMP:0000119	tetrad	microbial_phenotype	owl:equivalentClass	MICRO:0000374	tetrad	tetrad	Lexical	OMP	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	tetrad	.
MICRO:0000374	tetrad	tetrad	owl:equivalentClass	OMP:0000119	tetrad	microbial_phenotype	Lexical	MICRO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	tetrad	.
OMP:0000118	streptococcus	microbial_phenotype	owl:equivalentClass	MICRO:0000377	streptococcus	streptococcus	Lexical	OMP	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	streptococcus	.
MICRO:0000377	streptococcus	streptococcus	owl:equivalentClass	OMP:0000118	streptococcus	microbial_phenotype	Lexical	MICRO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	streptococcus	.
OMP:0000122	streptobacillus	microbial_phenotype	owl:equivalentClass	MICRO:0000376	streptobacillus	streptobacillus	Lexical	OMP	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	streptobacillus	.
MICRO:0000376	streptobacillus	streptobacillus	owl:equivalentClass	OMP:0000122	streptobacillus	microbial_phenotype	Lexical	MICRO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	streptobacillus	.
OMP:0000121	staphylococcus	microbial_phenotype	owl:equivalentClass	MICRO:0000378	staphylococcus	staphylococcus	Lexical	OMP	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	staphylococcus	.
MICRO:0000378	staphylococcus	staphylococcus	owl:equivalentClass	OMP:0000121	staphylococcus	microbial_phenotype	Lexical	MICRO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	staphylococcus	.
MICRO:0000354	spindle colony	distinctly shaped colony	owl:equivalentClass	OMP:0000169	spindle colony	microbial_phenotype	Lexical	MICRO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	spindle colony	.
OMP:0000169	spindle colony	microbial_phenotype	owl:equivalentClass	MICRO:0000354	spindle colony	distinctly shaped colony	Lexical	OMP	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	spindle colony	.
OMP:0000120	sarcina	microbial_phenotype	owl:equivalentClass	MICRO:0000371	sarcina	sarcina	Lexical	OMP	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	sarcina	.
MICRO:0000371	sarcina	sarcina	owl:equivalentClass	OMP:0000120	sarcina	microbial_phenotype	Lexical	MICRO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	sarcina	.
MICRO:0000352	punctiform colony	distinctly shaped colony	owl:equivalentClass	OMP:0000240	punctiform colony	microbial_phenotype	Lexical	MICRO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	punctiform colony	.
OMP:0000240	punctiform colony	microbial_phenotype	owl:equivalentClass	MICRO:0000352	punctiform colony	distinctly shaped colony	Lexical	OMP	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	punctiform colony	.
